candy_name,ingredients,image_url,,,,,,,,,,,,,,,,,,,,,,,
Charleston Chew,"Corn Syrup, Sugar, Palm Kernel and Palm Oil, Nonfat Dry Milk, Cocoa, Lactose, Milk Protein Concentrate, Egg Albumen, Artificial Flavor, Soy Lecithin, Soy Protein, Salt, Sodium Citrate",https://images-na.ssl-images-amazon.com/images/I/71OyhpXs-5L._SX522_.jpg,,,,,,,,,,,,,,,,,,,,,,,
Charms,"Whole Oat Flour,sugar, modified corn starch, corn syrup, dextrose, gelatin, artificial flavor, Sugar, Corn Syrup, Corn Starch, Salt, Calcium Carbonate, Color Added, Trisodium Phosphate, Zinc and Iron, Vitamin C, A B Vitamin, Artificial Flavor, Vitamin B6, Vitamin B2, Vitamin B1, Vitamin A, A B Vitamin, Vitamin B12, Vitamin D, Wheat Starch, Vitamin E",https://www.candywarehouse.com/item-images/125422-01_charms-squares-candy-packs-20-piece-box.jpg?resizeid=102&resizeh=500&resizew=500,,,,,,,,,,,,,,,,,,,,,,,
Chick-O-Stick,"Sugar, Corn syrup, peanut butter, corn syrup, salt, BHT, toasted coconut-contains sodium metabisulfite-a preservative, citric acid, sodium bicarbonate, titanium dioxide, artificial flavor, color includes yellow 5, red 40, blue 1, nonfat dry milk powder, soy lecithin",https://cdn.shopify.com/s/files/1/0269/2121/products/Chick_o_Stick.jpg?v=1568703325,,,,,,,,,,,,,,,,,,,,,,,
Chiclets,"Sugar, Gum Base, Glucose Syrup, Modified Food Starch, Artificial and Natural Flavoring, Corn Oil, Candelilla Wax, BHT, Red 40, Yellow 6 , Yellow 5, Blue 2, and Blue 1",https://s.yimg.com/aah/blaircandy/chiclets-assorted-fruit-gum-bulk-24-75lbs-34.jpg,,,,,,,,,,,,,,,,,,,,,,,
Chuckles,"Corn Syrup, Sugar, Cornstarch, Modified Food Starch, Natural and Artificial Flavors, Red 40, Caramel Color, Yellow 6, Blue 1, Yellow 5",https://images-na.ssl-images-amazon.com/images/I/61sKxS35k2L._SL1000_.jpg,,,,,,,,,,,,,,,,,,,,,,,
Cinnamon Bears,"Corn Syrup, Sugar, Modifed Food Starch, Cornstarch, Hydrogenated Coconut Oil, Carnauba Wax, Natural and Artificial Flavor, Beeswax, Artificial Red 40",https://pics.drugstore.com/prodimg/581351/900.jpg,,,,,,,,,,,,,,,,,,,,,,,
Circus Peanuts,"Sugar, Corn Syrup, Gelatin, Pectin, Artificial Flavor, Includes Yellow 6, Yellow 5, Red 40",https://www.myamericanmarket.com/3831-large_default/circus-peanuts-candy.jpg,,,,,,,,,,,,,,,,,,,,,,,
Cow Tales,"Wheat flour, corn syrup, dextrose, sugar, partially hydrogenated soybean oil, high fructose corn syrup, modified whey, skim milk, cream, mono & diglycerides, salt, soy lecithin, corn starch, and artificial flavors",https://www.goetzecandy.com/uploads/6/9/3/7/69370603/s476699256589627830_p12_i9_w600.jpeg,,,,,,,,,,,,,,,,,,,,,,,
Crybabies,"Sugar, Dextrose, Corn Syrup, Gum Base, Citric Acid, Tapioca Dextrin, Artificial Flavors, FD&C Red 40, Blue 1, Yellow 5, Yellow 6, Corn Starch, BHT",https://www.gumballs.com/media/extendware/ewimageopt/media/inline/26/e/cry-baby-tears-extra-sour-25lbs-32e.jpg,,,,,,,,,,,,,,,,,,,,,,,
Dots,"Corn syrup, sugar, food starch-modified, malic acid, natural and artificial flavors, sodium citrate, and artificial colors",https://images-na.ssl-images-amazon.com/images/I/81vWTUtJ5gL._SL1500_.jpg,,,,,,,,,,,,,,,,,,,,,,,
Dum Dums Pop,"Sugar, Corn Syrup, Citric Acid, Malic Acid, Salt, Artificial Flavor, Includes Red 40, Yellow 6, Yellow 5, Blue 1",https://i5.walmartimages.com/asr/cd0ec010-8dc7-4ef7-aad1-0102c5146378_1.5692547e119be4f877d60c059c7b6d4b.jpeg,,,,,,,,,,,,,,,,,,,,,,,
Everlasting Gobstopper,"Dextrose, Maltodextrin,Corn Syrup, Malic Acid, Calcium Stearate, Carnauba Wax, Artificial Flavors, Blue 1, Blue 2 Lake, Red 40 Lake, Yellow 5, Yellow 5 Lake. Yellow 6",https://www.candywarehouse.com/item-images/128476-01_everlasting-gobstopper-candy-5-ounce-packs-12-piece-box.jpg,,,,,,,,,,,,,,,,,,,,,,,
Fun Dip,"Dextrose, Maltodextrin,Citric Acid, Calcium Stearate, Artificial Flavors, Blue 1, Blue 1 Lake, Blue 2 Lake, Red 40 Lake, Yellow 5",https://www.candywarehouse.com/item-images/125648-01_fun-dip-candy-packs-48-piece-box.jpg?resizeid=102&resizeh=500&resizew=500,,,,,,,,,,,,,,,,,,,,,,,
