candy_name,ingredients
Googoo Cluster,"dry roasted peanuts, dextrose, hydrogenated cottonseed, rapeseed oil and salt, sugar, peanuts, dextrose, cocoa butter, fractionated palm kernel oil, chocolate liquor, whole milk powder, soy lecithin, cocoa, whey powder, non fat dry milk, salt, cornstarch, natural flavor, peanut flour, soy protein isolate, wheat starch, almond flour, pecans, walnuts, cashews, hazelnuts"
Gum Cigars,"Sugar, gum base, corn syrup, artificial flavors, glycerine, soy lecithin, FD&C Red 40, Red 40 Lake, Blue 1, Yellow 5, Yellow 6, BHT"
Gumdrops,"Corn Syrup, Sugar, Food Starch-Modified, Malic Acid, Natural And Artificial Flavors, Sodium Citrate, FD&C Red 40, Yellow 5, Blue 1"
Gummi Bears,"Sugar, Corn Syrup, White Grape Juice from Concentrate, Gelatin, Citric Acid, Sorbitol, Natural and Artificial Flavors, Carnauba Wax, Red 40, Yellow 6, Yellow 5, Blue 1"
Gushers,"sugar, partially hydrogenated cottonseed oil, maltodextrin, cottonseed oil, Pure Addiction addictacain carrageenan, citric acid, glycerin, monoglycerides, sodium citrate, malic acid, ascorbic acid, natural flavor, potassium citrate, agar-agar, Red 40, xanthan gum"
Hershey's Kiss,"Sugar, Milk, Chocolate, Cocoa Butter, Lactose, Milk Fat, Soy Lecithin and Ppgr, Vanillin"
Hot Tamales,"Sugar, Corn Syrup, Modified Food Starch, Pear Juice From Concentrate, Sodium Citrate, Pectin, Citric Acid, Malic Acid, Fumaric Acid, Confectioners Glaze, Carnauba Wax, White Mineral Oil, Artificial Flavors, Artificial Color, Magnesium Hydroxide, Red No. 3, Red No"
Jawbreaker,"Dextrose,Corn Syrup, Malic Acid, Sugar, Titanium Dioxide, Yellow 6 Lake, Red 40 Lake, Blue 1 Lake, Yellow 5 Lake, Yellow 6, Natural & Artificial Flavor, Calcium Stearate, Carnauba Wax"
Jolly Rancher,"Corn Syrup, Sugar,Malic Acid, Natural & Artificial Flavor, Artificial Color Red 40, Blue 1, Yellow 5, Yellow 6   "
Jujubes,"Corn Syrup, Sugar, Modified Food Starch, White Mineral Oil, Carnauba Wax, Natural flavor, Artificial Flavor, Red 40, Yellow 5, Yellow 6, Blue 1"
Jujyfruits,"Corn Syrup, Sugar, Modified Food Starch, Cornstarch, Natural flavor, Artificial Flavors, White Mineral Oil, Carnauba Wax, Caramel Color, Blue 1, Yellow 6, Red 40, Yellow 5"
Junior Mints,"Sugar, Sugar, Chocolate Processed with Alkali, Cocoa Butter, Soy Lecithin, Vanillin, Corn Syrup, Confectioner's Glaze, Food Starch-Modified, Peppermint Oil, Invertase"
Laffy Taffy,"corn syrup, sugar, palm oil, monoglycerides, diglycerides, hydrogenated cottonseed oil, salt, soy lecithin, artificial flavor, yellow 5"
Lemonhead,"Sucrose, corn syrup, citric acid, confectioner's glaze, natural flvors, artificial flavor, gum acacia, lemon juice concentrate, modified food starch, carnauba wax, and yellow 5"
Lifesavers,"Sugar, corn syrup, high fructose corn syrup, citric acid, natural flavors, artificial flavors,red 40, yellow 5, blue 1"
M&M's,"sugar, cocoa mass, skimmed milk powder, cocoa butter, lactose, milk fat, palm fat, glucose syrup, starch, shea fat, E100, Carmine, E132, E133, E150a, E150c, E150d, E153, E160a, E160e, E162, E163, E171, E172, dextrin,beeswax, carnauba wax, emulsifiers, soya lecithin, E445, coconut oil, salt"
Mamba,"Glucose Syrup, Sugar, Palm Oil, Humectant Sorbitol Syrup, Modified Food Starch, Citric Acid, Artificial Flavors, Coloring Black Carrot Concentrate, Caramel Sugar Syrup, Polyoxyethylene Sorbitan Monostearate, Turmeric Extract,Alpha-Tocopherol"
Reese's Peanut Butter Cups,"sugar, cocoa butter, chocolate, nonfat milk, milk fat, lactose, soy lecithin, pgpr, emulsifier, peanuts, sugar, dextrose, salt, tbhq, citric acid"
3 Musketeers,"Milk chocolate, sugar, corn syrup, hydrogenated palm kernel oil, cocoa powder process with alkali, salt, egg whites, artificial flavors, natural flavors"
Nut Lovers,"Sugar, Cocoa Butter, Chocolate, Nonfat Milk, Milk Fat, Soy Lecithin, Salt, PGPR, Vanillin, Peanuts"
Nutrageous,"Peanut, Caramel, Peanut Butter in a Milk Chocolate Coating, Sugar, Cocoa Butter, Chocolate, Milk, Lactose, Milkfat, Nonfat Milk, Soy Lecithin, Peanuts, Glucose-Fructose Syrup, Sugar, Humectant, Dextrose, High Maltose Corn Syrup, Palm Kernel Oil, Salt, Whey, Corn Syrup, Whey Protein Concentrate, Artificial Flavour, Sodium Caseinate, Emulsifier, Preservative"
Old Faithful,"Sugar, Whole Milk Powder, Statement Cocoa Butter, Chocolate Liquor, Soy Lecithin, Vanillin, Peanuts, Corn Syrup, Salt, Egg Albumen, Gelatin, Vanillin"
Payday,"Ingredients: Peanuts, sugar, corn syrup, non fat, milk, palm oil, salt, carrageenan, mono and carrageenan, monoglycerides, diglycerides, egg whites, soy protein."
Pistache,"Peanuts, sugar, corn syrup, non fat, milk, palm oil, salt, carrageenan, mono and carrageenan, mono and diglycerides, egg whites, soy protein."
Reese's Fast Break,"Sugar, peanuts, sugar, cocoa butter, chocolate non fat milk, milk fat, lactose, soy lecithin, PGPR, emulsifier, corn syrup, dextrose, cocoa butter, palm shea, sunflower and/or safflower oil, chocolate nonfat milk, high fructose corn syrup, whey, salt, palm kernel and palm oil, cocoa processed with alkali, egg white, milk fat, cornstarch, soy lecithin, hydrolyzed milk protein, glycerin, TBHQ, vanillin, artificial flavor, yellow 5 lake, yellow 6 lake"
Ritter Sport,"sugar, cocoa mass, almonds, cocoa butter, invert sugar syrup, soy lecithins,invertase"
Rocky Road,"Sugar, Cocoa butter, Chocolate liquor, Milk powder, Soy Lecithin , Natural vanilla and artificial flavors, Sugar, Corn syrup, Cashew nuts, Palm kernel oil and coconut oil, Cocoa powder, Whey powder, Nonfat milk powder, Soy lecithin as an emulsifier, vanillin, Sorbitol, Gelatin, Glycerine, Salt, Artificial flavor"
Skor,"sugar, cocoa butter, unsweetened chocolate,lactose, soy lecithin, salt, artificial flavour, sugar, milk ingredients, chopped almonds, salt, almonds, milk and soy."
Sky Bar,"sugar, cocoa butter, milk, chocolate liquor, lecithin, vanillin, sugar, corn syrup, invert sugar, whole milk, sugar, coconut oil, butter, peanuts, coconut, palm, soybean, cottonseed, palm kernel), chocolate liquor, artificial & natural flavor, salt, soy lecithin, egg whites"
Snickers," Milk chocolate,sugar, cocoa butter, chocolate, skim milk, lactose, milkfat, soy lecithin, artificial flavor, corn syrup, peanuts, sugar, palm oil, skim milk, lactose, salt, egg whites, artificial flavor. Contains peanuts, milk, egg and soy"
Sucré Artisan Chocolate Bar,"
COCOA MASS, SUGAR, COCOA BUTTER, PARTIALLY SKIMMED MILK POWDER,SOY LECITHIN, WHOLE MILK POWDER, VANILLA, COFFEE BEANS, SUGAR"
Take 5,"Milk Chocolate, Sugar, Cocoa Butter, Chocolate, Nonfat Milk, Milk Fat, Lactose, Salt, Lecithin, Natural Flavor, Peanut Butter, Peanuts, Sugar, Partially Defatted Peanuts, Hydrogenated Vegetable Oil, Palm Kernel Oil, Soybean Oil, Dextrose, Corn Syrup Solids, Salt,  Palm Kernel Oil,  Lecithin, Vanillin, TBHQ, Citric Acid, Pretzels, Enriched Wheat Flour, Flour, Niacin, Ferrous Sulfate, Thiamin Mononitrate, Riboflavin, Folic Acid, Salt, Corn Syrup Solids, Vegetable Oil, Corn Oil, Canola Oil,Soybean Oil, Yeast, Ammonium Bicarbonate, Baking Soda, Caramel, High Fructose Corn Syrup, Sugar, Nonfat Milk, Dairy Butter, Hydrogenated Coconut Oil, Glycerin, Mono and Diglycerides, Salt, Carrageenan, Artificial Flavor, Lecithin, Milk Fat, Disodium Phosphate, Peanuts
"
Taza,"Organic cacao beans, organic cane sugar, organic evaporated cane juice, sea salt, natural flavor, organic caramel color, organic almonds, organic cocoa butter, sea salt, organic vanilla beans"
Toblerone,"sugar, whole milk powder, cocoa butter, cocoa mass, honey, milk fat, almonds, soya lecithin, egg white, vanillin "
Twix,"Milk Chocolate, Sugar, Cocoa Butter, Chocolate, Nonfat Milk, Milk Fat, Lactose, Salt, Lecithin, Natural Flavor, Peanut Butter, Peanuts, Sugar, Partially Defatted Peanuts, Hydrogenated Vegetable Oil, Palm Kernel Oil, Soybean Oil, Dextrose, Corn Syrup Solids, Salt,  Palm Kernel Oil,  Lecithin, Vanillin, TBHQ, Citric Acid, Pretzels, Enriched Wheat Flour, Flour, Niacin, Ferrous Sulfate, Thiamin Mononitrate, Riboflavin, Folic Acid, Salt, Corn Syrup Solids, Vegetable Oil, Corn Oil, Canola Oil,Soybean Oil, Yeast, Ammonium Bicarbonate, Baking Soda, Caramel, High Fructose Corn Syrup, Sugar, Nonfat Milk, Dairy Butter, Hydrogenated Coconut Oil, Glycerin, Mono and Diglycerides, Salt, Carrageenan, Artificial Flavor, Lecithin, Milk Fat, Disodium Phosphate, Peanuts"
U-No Bar,"Sugar, Cocoa Butter, Chocolate Liquor, Whole Milk Powder, Soy Lecithin, Natural Vanilla Flavor, Sugar, Hydrogenated Coconut Oil, Hydrogenated Palm Kernel Oil, Cocoa Powder, Nonfat Milk Powder, Whey Powder, Almonds Roasted Almonds, Soy Lecithin, Vanillin, Salt"
Whatchamacallit," Sugar, Cocoa Butter, Chocolate Liquor, Whole Milk Powder, Soy Lecithin as an Emulsifier, Natural Vanilla Flavor, Sugar, Hydrogenated, Coconut Oil, Hydrogenated Palm Kernel Oil, Cocoa Powder, Nonfat Milk Powder, Whey Powder, Almonds Roasted Almonds, Soy Lecithin, Vanillin, Salt"
Wonka Bar (Wonka Exceptionals Chocolate Bar),"Sugar, Cocoa Butter, Chocolate, Nonfat Milk, Peanuts, Milkfat, Lactose, Butter, Rice Flour,  Palm Oil, Soy Lecithin, Corn Flour, Modified Cornstarch, Salt, Natural Flavors, High Fructose Corn Syrup"
Zero Bar,"
SUGAR,
CORN SYRUP, PALM KERNEL,PALM OIL,NONFAT MILK
,SOY PIECES
PEANUTS,COCOA,MALTED MILK,BARLEY MALT EXTRACT,WHEAT FLOUR,MILK,SALT,SODIUM BICARBONATE, ALMONDS,AND/OR SUNFLOWER OILSALT,ARTIFICIAL COLOR,SORBITAN TRISTEARATE,EGG WHITES,SOY LECITHIN,HYDROLYZED SOY PROTEIN,ARTIFICIAL FLAVOR,MONO- AND DIGLYCERIDES."
Dove Chocolate,"Sugar, Cocoa Butter, Chocolate, Skim Milk, Milkfat, Lactose, Chocolate processed with Alkali, Soy Lecithin, Natural and Artificial Flavors"
Ferrero Rocher,"Sugar, Cocoa Butter, Chocolate, Skim Milk, Milkfat, Lactose, Chocolate processed with Alkali, Soy Lecithin, Natural and Artificial Flavors"
Hershey's,"Milk chocolate, sugar, milk, chocolate, cocoa butter, lactose, milk fat, soy lecithin, PGPR, emulsifier, vanillin, artificial flavor"
Ice Breakers,"Maltodextrin, Maltitol, Natural and Artificial Flavor, Aspartame, Phenylketonurics, Magnesium Stearate, Gum Acacia, Artificial Color, Blue 1, Yellow 5, Soy Lecithin"
Pixy Stix,"dextrose, citric acid, artificial and natural flavors, blue 1 lake, blue 2 lake, red 40 lake, yellow 5 lake, yellow 6 lake"
Quench Gum," Sugar, Dextrose, Corn Syrup, Gum Base, Citric Acid, Glycerine, Natural & Artificial Flavors, Soy Lecithin, Potassium Tripolyphosphate, Potassium Chloride, Aspartame, Acesulfame Potassium, Artificial Colors, Orange and Fruit Punch,FD&C Red 40 Lake, Yellow 6, Double Raspberry, FD&C Red 40 Lake, Blue 1, Strawberry/Watermelon FD&C Red 40 Lake, Blue 1, Yellow 5, BHT, Phenylketonurics"
Rolos,"Sugar, Nonfat Milk, Cocoa Butter, Chocolate, Milk Fat, Lactose, Lecithin , PGPR Emulsifier, Vanillin Artificial Flavor, Sugar, Corn Syrup, High Fructose Corn Syrup, Palm Kernel Oil, Soybean Oil, Nonfat Milk, "
